Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,[1.6115256502576496],[0.36424365942028986],[1.4201678682600507],[0.48400556328233657]
2,[1.361207528066808],[0.522078804347826],[1.2154017292242887],[0.5813630041724618]
3,[1.249602963850982],[0.5636322463768116],[1.1077514520440876],[0.60778859527121]
4,[1.1796952472000881],[0.5887681159420289],[1.036378155497417],[0.6522948539638387]
5,[1.132692676631437],[0.6019021739130435],[0.969809393557786],[0.694019471488178]
6,[1.0896569330623185],[0.6194519927536232],[0.9568654542506487],[0.6620305980528511]
7,[1.0642011068437411],[0.622848731884058],[0.9247875449057249],[0.6815020862308763]
8,[1.0409624619760376],[0.6325860507246377],[0.9000145571619811],[0.6870653685674548]
9,[1.0311605984318084],[0.634171195652174],[0.8922382022807264],[0.6912378303198887]
10,[1.005269855260849],[0.644927536231884],[0.8675164778474641],[0.6981919332406119]
11,[1.0035521573778512],[0.6439085144927537],[0.8766984766315519],[0.6815020862308763]
12,[0.9772378067499485],[0.6539855072463768],[0.8397713441178928],[0.6981919332406119]
13,[0.9750107684429141],[0.6560235507246377],[0.8314319310168398],[0.6926286509040334]
14,[0.961171847106754],[0.6556838768115942],[0.8071932094650905],[0.717663421418637]
15,[0.9633752627001293],[0.6569293478260869],[0.8178689990487981],[0.6968011126564673]
16,[0.9513885785920032],[0.6604393115942029],[0.8096052676812332],[0.7079276773296245]
17,[0.9506997846714829],[0.6591938405797102],[0.8042986834828479],[0.7162726008344924]
18,[0.9424499897961167],[0.665421195652174],[0.7971224499677252],[0.7079276773296245]
19,[0.9418331457544928],[0.6649682971014492],[0.7797849703896195],[0.7204450625869263]
20,[0.9340906671207884],[0.6625905797101449],[0.7748025338241885],[0.7357440890125174]
21,[0.9244655491109344],[0.6672327898550725],[0.7797213652700973],[0.7232267037552156]
22,[0.9131662945492544],[0.6742527173913043],[0.7651418040458615],[0.7162726008344924]
23,[0.9233218372084092],[0.6681385869565217],[0.7626637803994233],[0.7246175243393602]
24,[0.9109703988052796],[0.6690443840579711],[0.7761686280141785],[0.717663421418637]
25,[0.8917227247055026],[0.6845561594202898],[0.7711346642695813],[0.7162726008344924]
26,[0.9034351836620034],[0.6752717391304348],[0.7503376917315127],[0.7246175243393602]
27,[0.9001451824130355],[0.6778759057971014],[0.7500001352917667],[0.7246175243393602]
