Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,[1.497158359574235],[0.46603260869565216],[1.3444204274072766],[0.5201668984700973]
2,[1.135390207387399],[0.6664402173913043],[1.1627181080352613],[0.5841446453407511]
3,[0.9829838636560716],[0.7022192028985508],[1.0677858492429466],[0.6216968011126565]
4,[0.8916866852753405],[0.7306385869565217],[1.0383024645116963],[0.6286509040333796]
5,[0.8397278892605201],[0.7401494565217391],[0.9595723506969934],[0.6675938803894298]
6,[0.7942505624631176],[0.7485280797101449],[0.9506150790812741],[0.6536856745479833]
7,[0.7621076983818109],[0.7579257246376812],[0.9312237587359751],[0.6592489568845619]
8,[0.7355657760863719],[0.7647192028985508],[0.8990098095404422],[0.6731571627260083]
9,[0.7280394025146961],[0.759171195652174],[0.8643790976725965],[0.6995827538247567]
10,[0.7048402227785276],[0.7685688405797102],[0.869552352995468],[0.6815020862308763]
11,[0.6883943584626135],[0.7728713768115942],[0.8669317160760246],[0.6912378303198887]
12,[0.677696225327858],[0.774796195652174],[0.8246893595090662],[0.713490959666203]
13,[0.6753538182356219],[0.7749094202898551],[0.8522926596341777],[0.6898470097357441]
14,[0.6565865021252978],[0.779891304347826],[0.8319710419721829],[0.7037552155771906]
15,[0.6526736654071272],[0.7829483695652174],[0.8031373128440019],[0.7190542420027817]
16,[0.6385545265739379],[0.7830615942028986],[0.7960077147822056],[0.7190542420027817]
17,[0.6329412806941115],[0.791213768115942],[0.8052973394102115],[0.7107093184979137]
18,[0.6414576186866],[0.7779664855072463],[0.7754485592225331],[0.7329624478442281]
19,[0.6202874145861985],[0.7894021739130435],[0.7883396917158771],[0.7121001390820584]
20,[0.6299005165912103],[0.7881567028985508],[0.7622624221199576],[0.7426981919332406]
21,[0.6172353461708712],[0.7911005434782609],[0.7723180199863184],[0.7246175243393602]
22,[0.6096291214335656],[0.7920063405797102],[0.7474424847724209],[0.7440890125173852]
23,[0.6126208209797092],[0.7908740942028986],[0.7670131122618292],[0.7246175243393602]
24,[0.6009446710780046],[0.7973278985507246],[0.7618273959206274],[0.7357440890125174]
25,[0.5961794411304636],[0.799026268115942],[0.7393710361236657],[0.7482614742698191]
26,[0.5954086662310621],[0.7991394927536232],[0.7650798372665267],[0.7301808066759388]
27,[0.5962995920276296],[0.7938179347826086],[0.7484784913825724],[0.741307371349096]
28,[0.5850966977954343],[0.8021965579710145],[0.7585671508428284],[0.7287899860917941]
29,[0.5927054171544918],[0.7983469202898551],[0.7436429488476527],[0.7357440890125174]
30,[0.5772010392468908],[0.7973278985507246],[0.7434352238834816],[0.7301808066759388]
31,[0.5832721183373444],[0.8012907608695652],[0.7327698953294289],[0.7426981919332406]
32,[0.5763196333217017],[0.8048007246376812],[0.7353553757879764],[0.7385257301808067]
33,[0.5761235745056815],[0.7989130434782609],[0.737033501288158],[0.7343532684283728]
34,[0.5762627960547156],[0.8018568840579711],[0.7312198619103067],[0.7399165507649513]
35,[0.5812087006650973],[0.8018568840579711],[0.7299166846092952],[0.7329624478442281]
36,[0.5671503624028486],[0.8078577898550725],[0.7265559065159571],[0.7371349095966621]
37,[0.5620282730222612],[0.8067255434782609],[0.7166943007948005],[0.7426981919332406]
38,[0.5623947577685982],[0.8028759057971014],[0.7288089118514506],[0.7399165507649513]
39,[0.5574770676970914],[0.8091032608695652],[0.7327193916258461],[0.7301808066759388]
40,[0.5645660287768081],[0.8043478260869565],[0.7164830459341386],[0.7468706536856745]
41,[0.5613979548755763],[0.8063858695652174],[0.717339154327695],[0.7496522948539638]
42,[0.5555394322111986],[0.8097826086956522],[0.7238869742491647],[0.7385257301808067]
43,[0.558498953199149],[0.8079710144927537],[0.7099030431520624],[0.741307371349096]
44,[0.5609347460440536],[0.8051403985507246],[0.7188954425040471],[0.7399165507649513]
45,[0.5530191955251106],[0.8069519927536232],[0.712712790438794],[0.7468706536856745]
46,[0.5524388933419317],[0.8075181159420289],[0.7288795019887253],[0.7343532684283728]
47,[0.5434786560472803],[0.8128396739130435],[0.7208273673588113],[0.7385257301808067]
48,[0.5608378987543393],[0.8026494565217391],[0.7031739694850003],[0.7426981919332406]
49,[0.5455343383431867],[0.811141304347826],[0.7031343455772241],[0.7454798331015299]
50,[0.5510174665546071],[0.8026494565217391],[0.6996307521022245],[0.7468706536856745]
51,[0.54356563768849],[0.8152173913043478],[0.7030295723005197],[0.7343532684283728]
52,[0.5392749154319366],[0.813858695652174],[0.694366827462081],[0.7621696801112656]
53,[0.5366481380888085],[0.8126132246376812],[0.6996528539024242],[0.7593880389429764]
54,[0.5424370885408227],[0.8098958333333334],[0.7216377232601977],[0.7399165507649513]
55,[0.5423358946606733],[0.8083106884057971],[0.6976220394706195],[0.7496522948539638]
56,[0.5453521571783484],[0.8038949275362319],[0.6939843430472681],[0.7552155771905424]
57,[0.529207839185129],[0.8166893115942029],[0.6930463935801648],[0.7482614742698191]
58,[0.5302803864216675],[0.8129528985507246],[0.6863961332530737],[0.7552155771905424]
59,[0.5279170817331128],[0.8120471014492754],[0.6871542884179382],[0.7510431154381085]
60,[0.534027322937829],[0.8143115942028986],[0.6875888532822918],[0.7538247566063978]
61,[0.5421969411570741],[0.8127264492753623],[0.6888055962216373],[0.7538247566063978]
62,[0.5355307630033813],[0.8140851449275363],[0.6830637850416552],[0.7552155771905424]
63,[0.5423909824449515],[0.8084239130434783],[0.6892169425484203],[0.7496522948539638]
64,[0.534072286206419],[0.8127264492753623],[0.6944390362923931],[0.7482614742698191]
65,[0.5430136770549892],[0.811141304347826],[0.6726862116715506],[0.7593880389429764]
66,[0.5358706140431805],[0.8101222826086957],[0.6869438022831054],[0.7482614742698191]
67,[0.5146714289389227],[0.8239356884057971],[0.6872332925093522],[0.7482614742698191]
68,[0.5145768931918386],[0.8232563405797102],[0.6820565793709894],[0.7579972183588317]
69,[0.5193854712651692],[0.8212182971014492],[0.6820472362807464],[0.7524339360222532]
70,[0.5223348477342422],[0.8157835144927537],[0.6938094022542611],[0.7468706536856745]
71,[0.5179683898670085],[0.8237092391304348],[0.6750538037449992],[0.7649513212795549]
72,[0.5233927288403114],[0.8175951086956522],[0.6776935003065765],[0.7649513212795549]
73,[0.5309522282872079],[0.8110280797101449],[0.6883118800891457],[0.7440890125173852]
74,[0.5217890377169934],[0.8151041666666666],[0.6703058208477514],[0.7566063977746871]
75,[0.521735008455057],[0.8153306159420289],[0.6736539729944688],[0.7579972183588317]
76,[0.51208262099628],[0.8180480072463768],[0.6715587980226615],[0.7663421418636995]
77,[0.5260986881330609],[0.8131793478260869],[0.6682440559787777],[0.760778859527121]
78,[0.5209993220784742],[0.8164628623188406],[0.6824902960919207],[0.7482614742698191]
79,[0.5186119769983317],[0.818953804347826],[0.6780917057987712],[0.7468706536856745]
80,[0.5253565581380457],[0.8164628623188406],[0.6766548095392749],[0.7496522948539638]
81,[0.5084433595960339],[0.8204257246376812],[0.6859726767380812],[0.7524339360222532]
82,[0.5198521675353033],[0.8164628623188406],[0.6798958198085779],[0.7468706536856745]
83,[0.5205774411991022],[0.8178215579710145],[0.6740671751893778],[0.7538247566063978]
84,[0.5072219928969508],[0.8190670289855072],[0.6650961314603915],[0.7566063977746871]
85,[0.5178234795702324],[0.8175951086956522],[0.6775164241502282],[0.7482614742698191]
86,[0.5151433286702504],[0.8171422101449275],[0.6658561302657253],[0.7593880389429764]
87,[0.5160737596047313],[0.8205389492753623],[0.6709113385481695],[0.7566063977746871]
88,[0.5249605250504353],[0.818161231884058],[0.6615774438344719],[0.7510431154381085]
89,[0.5039201767683246],[0.8226902173913043],[0.6603430052791749],[0.7566063977746871]
90,[0.5139123433256063],[0.8157835144927537],[0.6690485393719149],[0.7510431154381085]
91,[0.5142933187898302],[0.8195199275362319],[0.6749461404305671],[0.7524339360222532]
92,[0.508222491507405],[0.8203125],[0.6782843189544572],[0.7579972183588317]
93,[0.5095657970000437],[0.8201992753623188],[0.6823708633885761],[0.7496522948539638]
94,[0.5095527164800011],[0.818161231884058],[0.6655835559039852],[0.7566063977746871]
95,[0.5106542063742012],[0.8194067028985508],[0.6675690807122349],[0.7538247566063978]
96,[0.5030543219595067],[0.8215579710144928],[0.6700370998143819],[0.7635605006954103]
97,[0.507178306552595],[0.8201992753623188],[0.6636653895669918],[0.7566063977746871]
98,[0.5065066109451911],[0.8239356884057971],[0.6748342814962788],[0.7566063977746871]
99,[0.5030947200738002],[0.8225769927536232],[0.6779835407359213],[0.7621696801112656]
100,[0.5067915574283056],[0.8260869565217391],[0.670587689803605],[0.7579972183588317]
