Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,[1.6393423905407174],[0.34805253623188404],[1.4040026533752887],[0.5132127955493742]
2,[1.3824952950944072],[0.5207201086956522],[1.208459185128086],[0.6022253129346314]
3,[1.268218082362327],[0.5549139492753623],[1.119051583453246],[0.6063977746870653]
4,[1.2027943792982378],[0.5737092391304348],[1.0470259806377002],[0.6397774687065368]
5,[1.1580047002737073],[0.5896739130434783],[0.9781546633333092],[0.6801112656467315]
6,[1.1141534448749777],[0.6022418478260869],[0.9451559937879008],[0.6787204450625869]
7,[1.0782892585232637],[0.625],[0.9135349016527805],[0.6842837273991655]
8,[1.0743847521750822],[0.6222826086956522],[0.9013629892273639],[0.7009735744089013]
9,[1.049310358322185],[0.6305480072463768],[0.8808607494715026],[0.6842837273991655]
10,[1.0253418326593828],[0.636322463768116],[0.8793820681591856],[0.6815020862308763]
11,[1.0165909753869409],[0.6475317028985508],[0.8699037560335618],[0.6884561891515995]
12,[1.0050773481312005],[0.6452672101449275],[0.8746617055071909],[0.6787204450625869]
13,[0.9859116271786068],[0.6544384057971014],[0.828792267780808],[0.6995827538247567]
14,[0.9844045369629411],[0.6501358695652174],[0.8163770755574169],[0.7051460361613352]
15,[0.9704949767801209],[0.6530797101449275],[0.8131724940884926],[0.7107093184979137]
16,[0.9693863090613614],[0.6611186594202898],[0.813403972498399],[0.694019471488178]
17,[0.9530219409236873],[0.6639492753623188],[0.8068890030261373],[0.6954102920723226]
18,[0.9580709169740262],[0.6545516304347826],[0.8131550227153285],[0.7037552155771906]
19,[0.9475457958769107],[0.6634963768115942],[0.7771726113864543],[0.7093184979137691]
20,[0.9391406751845194],[0.6658740942028986],[0.7746369233549222],[0.7162726008344924]
21,[0.9351938658974309],[0.6664402173913043],[0.7861909022417453],[0.7121001390820584]
22,[0.9372340053103972],[0.665421195652174],[0.7617863966294556],[0.7148817802503477]
23,[0.9207896813750267],[0.6724411231884058],[0.7839406381810656],[0.7079276773296245]
24,[0.9222810201454854],[0.6692708333333334],[0.7774261913478623],[0.7023643949930459]
25,[0.911602517346973],[0.6731204710144928],[0.7836356924870084],[0.7009735744089013]
26,[0.9029541602493196],[0.6804800724637681],[0.758033299562165],[0.7121001390820584]
27,[0.8985305244939915],[0.6821784420289855],[0.7570966432422855],[0.7037552155771906]
28,[0.9109746840229069],[0.671875],[0.7558627488384326],[0.7148817802503477]
29,[0.9018665492210699],[0.6721014492753623],[0.7525418692570237],[0.7162726008344924]
30,[0.8963871350970821],[0.6814990942028986],[0.7579507228396367],[0.7301808066759388]
31,[0.9059201052439385],[0.6701766304347826],[0.7335133748193775],[0.7246175243393602]
32,[0.8916532273633756],[0.6774230072463768],[0.7435335574959183],[0.7162726008344924]
33,[0.8897661334038645],[0.6821784420289855],[0.7446226667462535],[0.713490959666203]
34,[0.8869971130853114],[0.6821784420289855],[0.7322265074714003],[0.7204450625869263]
35,[0.8814388645839863],[0.6859148550724637],[0.7510072778760143],[0.7190542420027817]
36,[0.8768691677006258],[0.681046195652174],[0.7287246640434849],[0.7162726008344924]
37,[0.8754891853617586],[0.6846693840579711],[0.7229703584367277],[0.7315716272600834]
38,[0.8769899244433728],[0.6859148550724637],[0.716190628365449],[0.7385257301808067]
39,[0.8634617736806041],[0.6953125],[0.7551029066714524],[0.7051460361613352]
40,[0.8697311229787875],[0.6891983695652174],[0.7545567881082792],[0.7051460361613352]
41,[0.8737716201854788],[0.6858016304347826],[0.7544725721336705],[0.713490959666203]
42,[0.872296788122343],[0.6858016304347826],[0.7221799416568581],[0.7329624478442281]
43,[0.8690447242579599],[0.6862545289855072],[0.7181587090744262],[0.717663421418637]
44,[0.8657901217432126],[0.6834239130434783],[0.7258030443513178],[0.7246175243393602]
45,[0.8646294420612031],[0.6843297101449275],[0.7294365491754322],[0.7246175243393602]
46,[0.8603366272443015],[0.6869338768115942],[0.7346928190952879],[0.717663421418637]
47,[0.8449982637944429],[0.6855751811594203],[0.7241585015919013],[0.7273991655076495]
48,[0.8557975970856522],[0.6914628623188406],[0.7291987141249741],[0.7260083449235049]
49,[0.8611469576000303],[0.6872735507246377],[0.7196131190272134],[0.7343532684283728]
50,[0.8524690711519857],[0.6887454710144928],[0.7440632131567253],[0.7051460361613352]
51,[0.858718743196864],[0.6912364130434783],[0.7044199954650996],[0.7440890125173852]
