Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,[1.6679996945369193],[0.31520223152022314],[1.517479636904593],[0.4172461752433936]
2,[1.4613986045246843],[0.4714086471408647],[1.3261207144847333],[0.5090403337969402]
3,[1.3390593136371096],[0.541492329149233],[1.201870909486593],[0.5966620305980529]
4,[1.2430140247238564],[0.5958856345885635],[1.1154652679745776],[0.6147426981919333]
5,[1.1774647072103066],[0.6206415620641562],[1.0387176966634015],[0.6606397774687065]
6,[1.1276095149573588],[0.6328451882845189],[0.9860349571091409],[0.6731571627260083]
7,[1.0809321770940699],[0.653068340306834],[0.9461508231633893],[0.7107093184979137]
8,[1.0316180068911203],[0.6701534170153417],[0.9115614857063505],[0.7065368567454798]
9,[1.015129193434988],[0.6739888423988842],[0.9009383227132126],[0.7079276773296245]
10,[0.9858522499954351],[0.6757322175732218],[0.8513068594919292],[0.7315716272600834]
11,[0.9550050179496138],[0.6903765690376569],[0.839224498029876],[0.7246175243393602]
12,[0.937863237521971],[0.6879358437935844],[0.8066962581019077],[0.7371349095966621]
13,[0.9259660552402587],[0.6935146443514645],[0.8019407953605864],[0.7496522948539638]
14,[0.9025063487276372],[0.7140864714086471],[0.794414540408218],[0.7454798331015299]
15,[0.9001361439251334],[0.7053695955369595],[0.768727321866822],[0.7482614742698191]
16,[0.8804294961599459],[0.703626220362622],[0.7485773960472977],[0.7579972183588317]
17,[0.8640742796568026],[0.7116457461645747],[0.7525122134178173],[0.7468706536856745]
18,[0.8418574917599081],[0.7144351464435147],[0.7373407992103004],[0.7566063977746871]
19,[0.8395361791428495],[0.7182705718270572],[0.7290130987949929],[0.7538247566063978]
20,[0.8335033151395151],[0.7203626220362622],[0.7302698657144592],[0.7566063977746871]
21,[0.8189032751147218],[0.7273361227336123],[0.710387938211624],[0.760778859527121]
22,[0.8228077028918299],[0.7224546722454672],[0.7079980723217897],[0.7524339360222532]
23,[0.8039638188094773],[0.7336122733612274],[0.7138719221729894],[0.7552155771905424]
24,[0.79320213568593],[0.7381450488145049],[0.7039179849608054],[0.7677329624478443]
25,[0.7993579022222649],[0.7294281729428173],[0.7113828204769087],[0.7635605006954103]
26,[0.7903582522726126],[0.7447698744769874],[0.6834011934231319],[0.7705146036161336]
27,[0.7721802355147472],[0.7336122733612274],[0.6830111286073136],[0.7593880389429764]
28,[0.7796884135056074],[0.7367503486750349],[0.6621718175388013],[0.7774687065368567]
29,[0.7522060425544217],[0.7416317991631799],[0.6610305632603185],[0.760778859527121]
30,[0.7601613994256555],[0.7426778242677824],[0.6480098079905556],[0.7705146036161336]
31,[0.7582284700920392],[0.7489539748953975],[0.6550495334394453],[0.7649513212795549]
32,[0.7482166885498345],[0.7468619246861925],[0.6502292581493234],[0.7663421418636995]
33,[0.7552986833340952],[0.7419804741980475],[0.6512429588195843],[0.7732962447844228]
34,[0.7569543389263179],[0.7405857740585774],[0.6444449712404455],[0.7774687065368567]
35,[0.726716893819918],[0.7642956764295676],[0.6553883036917207],[0.7705146036161336]
36,[0.7502134828886726],[0.7465132496513249],[0.6586219250575558],[0.7844228094575799]
37,[0.7230844595774779],[0.7566248256624826],[0.6419219119326627],[0.7885952712100139]
38,[0.7241279712281965],[0.7503486750348675],[0.6321972611467762],[0.7830319888734353]
39,[0.723897097416669],[0.7538354253835425],[0.6321807027028897],[0.7816411682892906]
