Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,[1.6499692979810732],[0.3214462605250124],[1.5166577081980668],[0.484251968503937]
2,[1.4459034349730606],[0.5076770678553739],[1.3265099534838218],[0.610236220472441]
3,[1.3072702659717463],[0.5809806835066865],[1.2077435386462474],[0.6279527559055118]
4,[1.201844081777107],[0.629024269440317],[1.1008300593518836],[0.6811023622047244]
5,[1.1289829662260649],[0.6557701832590391],[1.0329013250944183],[0.687007874015748]
6,[1.0660771815832326],[0.6750866765725607],[0.9757309565393943],[0.6988188976377953]
7,[1.0339447144767682],[0.6825160970777613],[0.9171788021335452],[0.7224409448818898]
8,[0.9959748714143772],[0.6810302129767212],[0.8793742713027113],[0.7224409448818898]
9,[0.9487978914930656],[0.7087667161961367],[0.8505857666646401],[0.7263779527559056]
10,[0.9362870712218868],[0.6953937592867756],[0.8328638334912578],[0.7303149606299213]
11,[0.8921668658225828],[0.7226349678058445],[0.8088956188967847],[0.7401574803149606]
12,[0.9054570048678446],[0.7048043585933631],[0.7920223859351451],[0.7480314960629921]
13,[0.8701028415860369],[0.7236255572065379],[0.7650527137470996],[0.7637795275590551]
14,[0.8474757221442983],[0.7191679049034175],[0.7382904225447047],[0.7598425196850394]
15,[0.8055700375456335],[0.7459138187221397],[0.7340327796973581],[0.765748031496063]
16,[0.808360459427836],[0.7374938088162457],[0.7218433585692579],[0.7559055118110236]
17,[0.7949979021857433],[0.7469044081228331],[0.7027904358435804],[0.7716535433070866]
18,[0.8003488310260782],[0.7404655770183259],[0.6991186287459425],[0.7696850393700787]
19,[0.7759921284168294],[0.7473997028231798],[0.6842959598293454],[0.7716535433070866]
20,[0.7617341364711272],[0.7563150074294205],[0.6633436539041715],[0.7775590551181102]
21,[0.7562481790500564],[0.753838533927687],[0.6623773023368805],[0.7775590551181102]
22,[0.7627074268562124],[0.7449232293214463],[0.6554157564959188],[0.781496062992126]
23,[0.7429435164282497],[0.753838533927687],[0.634910046115635],[0.7893700787401575]
24,[0.7433953433417045],[0.7592867756315007],[0.6401594210797408],[0.8011811023622047]
25,[0.744942096951812],[0.7662209014363547],[0.6328694327609745],[0.8011811023622047]
26,[0.7088389789013062],[0.770678553739475],[0.6162616591753922],[0.797244094488189]
27,[0.7259377119504561],[0.7592867756315007],[0.6261606737384646],[0.7952755905511811]
28,[0.7065575746925471],[0.7672114908370481],[0.6059193648691252],[0.8070866141732284]
29,[0.6899392140744168],[0.7682020802377415],[0.6130958579656646],[0.8090551181102362]
30,[0.7020303492146945],[0.7667161961367014],[0.5965973317153811],[0.8169291338582677]
31,[0.7048160948630546],[0.7627538385339276],[0.6068890493685805],[0.8090551181102362]
32,[0.6799175133499668],[0.7711738484398217],[0.6008833961223993],[0.8070866141732284]
33,[0.7094355136997456],[0.7726597325408618],[0.5857325339411187],[0.8110236220472441]
34,[0.6844830256455484],[0.7726597325408618],[0.5722677078772718],[0.8070866141732284]
35,[0.6729638760133566],[0.7756315007429421],[0.5783281589117576],[0.8208661417322834]
36,[0.6771667066217945],[0.7721644378405151],[0.5838651685264167],[0.8169291338582677]
37,[0.6627341611011008],[0.7781079742446756],[0.571854245474958],[0.8188976377952756]
38,[0.6744901196327229],[0.7716691431401684],[0.558974919591363],[0.8149606299212598]
39,[0.6553409532959831],[0.7795938583457157],[0.5728232935657651],[0.8110236220472441]
40,[0.6618874002766526],[0.784051510648836],[0.5534156462338966],[0.8248031496062992]
41,[0.6610672119054657],[0.7756315007429421],[0.5564249383182976],[0.8169291338582677]
42,[0.6646750869580931],[0.7751362060425954],[0.555468541430676],[0.8188976377952756]
43,[0.662291144722461],[0.7726597325408618],[0.5466630961012653],[0.8149606299212598]
44,[0.6222049376496943],[0.7929668152550767],[0.5506854998314474],[0.8248031496062992]
45,[0.6459260405497482],[0.779098563645369],[0.5341416120998502],[0.8267716535433071]
46,[0.6434844689182624],[0.7865279841505696],[0.5471715140999771],[0.8169291338582677]
47,[0.6326985598614216],[0.7850421000495295],[0.5312127283238989],[0.812992125984252]
48,[0.6132103823800675],[0.7974244675581972],[0.5466022331883588],[0.8188976377952756]
49,[0.6215827045256458],[0.7969291728578505],[0.5291843477665908],[0.8267716535433071]
50,[0.6292378983325212],[0.7909856364536899],[0.5257577809292501],[0.8188976377952756]
51,[0.6345184813518817],[0.7894997523526498],[0.5213753557580663],[0.8267716535433071]
52,[0.6320649830051552],[0.784051510648836],[0.5416816177330618],[0.8208661417322834]
53,[0.6237970016686382],[0.7979197622585439],[0.519548630385887],[0.8385826771653543]
54,[0.6153250560422768],[0.7904903417533432],[0.5203158376723762],[0.8307086614173228]
